termid,courseid,title,all_listings_string,area,prereqs,descrip
"1162","012601","Religion: An Anthropological Introduction","ANT 217","SA","","This course approaches religion not as a static entity or a singular essence  but as a term born of cross-cultural comparison  whose definition is open to continual contestation and revision. The first half of the course focuses on major conceptual approaches to the study of religion  beginning with classic works of social theory and moving through key anthropological debates that have shaped the field. The second half explores religious life in specific ethnographic and historical contexts  with a focus on contemporary questions surrounding secularism  revivalism  spirituality  agency  media  and religious pluralism."
"1162","013236","The Napoleonic Wars","HIS 363","HA","","Napoleon's contemporaries uttered his name with a mixture of admiration  awe  and horror. What were the reasons for these extreme reactions? In this course of lectures we will follow Napoleon and his armies step by step as they intrude and change the world around them during the tumultuous years of the Napoleonic wars (1798-1815): From the Battle of the Pyramids in Egypt  through the battle of Trafalgar and the campaigns in Germany  Spain  and Russia  and all the way to Napoleon's unexpected return from exile and the battle of Waterloo."
"1162","012824","Empire and Catastrophe","HIS 428 HLS 428 MED 428","HA","","Catastrophe reveals the fragility of human society. This course examines a series of phenomena--plague  famine  war  revolution  economic depression etc.--in order to reach an understanding of humanity's imaginings of but also resilience to collective crises. We shall look in particular at how political forces such as empire have historically both generated and resisted global disasters. Material dealing with the especially fraught centuries at the transition between the Middle Ages and the Early Modern Period will be set alongside examples drawn from antiquity as well as our own contemporary era."
"1162","000749","Seminar in Plasma Physics","AST 558","","","Advances in experimental and theoretical studies or laboratory and naturally-occurring high-termperature plasmas  including stability and transport  nonlinear dynamics and turbulence  magnetic reconnection  selfheating of \"burning\" plasmas  and innovative concepts for advanced fusion systems. Advances in plasma applications  including laser-plasma interactions  nonneutral plasmas  high-intensity accelerators  plasma propulsion  plasma processing  and coherent electromagnetic wave generation."
"1162","011720","Lyric Language and Form I: Renaissance to Romantic","COM 421 ENG 332","LA","","Lyric poetry has the uncanny capacity to surprise  and so inscribe itself in the mental life of its reader. This course aims at rendering that inscription indelible by uncovering some of the sources of surprise in the language and form of Renaissance through Romantic lyric works. First of a 2-semester sequence. Second semester on Modern Lyric. Either semester may be taken separately."
"1162","006818","Quantitative Analysis (Advanced)","WWS 507","","","Statistical analysis with applications to public policy. The course begins with an introduction to probability theory followed by discussion of statistical methods for estimating the quantitative effects of changes in policy variables. Regression methods appropriate for the analysis of observational data and data from randomized controlled experiments are stressed. The basic level (507B) assumes a fluency in high school algebra and some familiarity with calculus  while the advanced level (507C) assumes a fluency in calculus."
"1162","006754","Ethics and Public Policy","WWS 370 POL 308 CHV 301","EM","","The course examines major moral controversies in public life and differing conceptions of justice and the common good. It seeks to help students develop the skills required for thinking and writing about the ethical considerations that ought to shape public institutions  guide public authorities  and inform the public's judgments. The course will focus on issues that are particularly challenging for advanced  pluralist democracies such as the USA  including justice in war  terrorism and torture  paternalism  markets and distributive justice  abortion  the law of marriage and the place  if any  of religious arguments in politics."
"1162","012037","The United States Since 1974","HIS 361","HA","PDF option is not available to History concentrators..","The history of contemporary America  with particular attention to political  social and technological changes. Topics will include the rise of a new conservative movement and the reconstitution of liberalism  the end of the divisive Cold War era and the rise of an interconneted global economy  revolutionary technological innovation coupled with growing economic inequality  a massive influx of immigrants coupled with a revival of isolationism and nativism  a revolution in homosexual rights and gender equality coupled with the rise of a new ethos of \"family values.\""
"1162","002699","The Renaissance in England - The Future of the Early Modern Book","ENG 522","","","What is the future of the monograph in early modern studies? We will consider a range of significant recent critical studies in literary studies  intellectual history  and art history  paying attention to the books' particular critical achievements and their implications for the evolution of the field  as well as to the status of the monograph in a discipline increasingly informed by book history and the digital humanities."
"1162","006477","Race & Ethnicity (Half-Term)","SOC 562 AAS 562","","","An overview of important theories and theorists of race and ethnicity  that exposes students to fundamental concepts and equips them for subsequent independent study. The primary focus of the Race/Ethnicity Field is: 1) to understand the nature and persistence of race and ethnic identity as meaningful social groupings in contemporary society  and 2) to explain the social significance of these group identities - that is  how these groupings are related to social stratification  to socio-cultural relations  and to the political and economic dynamics in a society."
"1162","000912","Research Projects in Molecular Biology (Laboratory Rotations)","MOL 540","","","Students will perform research in the laboratories of two faculty advisers."
"1162","007319","Introduction to Geophysical Fluid Dynamics","AOS 571","","","Physical principles fundamental to the theoretical  observational  and experimental study of the atmosphere and oceans. The equations of motion for rotating fluids. Hydrostatic and geostrophic balance. Conservation of potential vorticity. Introduction to quasi-geostrophic theory and baroclinic instability. Geophysical boundary layers. Rossby and gravity waves."
"1162","000217","Post-War French Social Theory","ANT 425","SA","","Using the works of thinkers such as Sartre  Merleau-Ponty  Aron  Ricoeur  Levi-Strauss  Foucault and Bourdieu  the course will present students with some of the conflicting images of Western society as viewed by these thinkers. This course will introduce students to these authors with emphasis on their departure from traditional schools of thought and the consequences of their ideas on the production of knowledge about societies. Topics will include: relation of social thought to literary criticism and theories of social description."
"1162","008907","Digital Photography","VIS 213","LA","","This studio course introduces students to aesthetic and theoretical implications of digital photography. Studio emphasis is on mastering digital equipment and techniques  managing print quality  and generally becoming familiar with all aspects of the digital workspace. Popular media  found photographs  and the \"life\" of digital images will also be investigated. Slide lectures  readings and class discussions of student work in critique format will augment visual skills with critical and conceptual understandings of contemporary photography."
"1162","003948","Intermediate Latin: Catullus and His Age","LAT 105","","LAT 102 or departmental permission based on Latin Placement..","This course aims at increasing facility in reading Latin prose and poetry and introduces students to the literacy culture of Republican Rome. We shall read selections from two important authors of the late Roman Republic  Caesar and Catullus."
"1162","010591","Viruses: Strategy and Tactics","MOL 559","","","Viruses are unique parasites of living cells and may be the most abundant  highest evolved life forms on the planet. The general strategies encoded by all known viral genomes are discussed using selected viruses as examples. The first half of the course covers the molecular biology (the tactics) inherent in these strategies. The second half introduces the biology of engagement of viruses with host defenses  what happens when viral infection leads to disease  vaccines and antiviral drugs  and the evolution of infectious agents and emergence of new viruses."
"1162","004140","Calculus II","MAT 104","QR","MAT103 or equivalent..","Continuation of MAT103. Topics include techniques of integration  arclength  area  volume  convergence of series and improper integrals  L'Hopital's rule  power series and Taylor's theorem  introduction to differential equations and complex numbers."
"1162","003353","Colonial Latin America to 1810","HIS 303 LAS 305","HA","P/D/F option is not available for History concentrators..","This course begins with the origins and consolidation of the Aztec  Inca and Iberian polities and ends with the severance of colonial ties. It combines an overview of the political economy of the region over three centuries with a study of how social groups interacted among themselves and with imperial rule over time through accommodation and conflict. We pay special attention to comparisons and contrasts -- centers and frontiers of settlement  urban and rural life  indigenous and African populations  religion and transgression  Portuguese and Spanish models of rule -- and to long-term processes and implications of environmental change."
"1162","013215","Political Economy of Development","POL 555","","","This course covers recent scholarship on the political economy of development. Why are some countries rich and others poor? It focuses on how political processes affect economic performance from both a macro and micro perspective  including such factors as: institutions  historical legacies  political regimes  sources of poor governance and conflict  and the role of international economics and politics. The topics covered scratch the surface on the political economy of development. Thus the primary aim of this is to help advance your research and methodological skills to help you generate and develop your own research ideas."
"1162","002649","Contemporary Fiction","ENG 370","LA","","The past twenty-five years have ushered in an unprecedented era of change and reflection; from the end of the divided Cold War world to the new global circulation of the Internet  human modes of communication and expression have unfolded in dramatically different ways. We will explore novels written in English from 1990 to the present that reflect on change--cultural  political  technological  environmental--and in so doing  consider our position as twenty-first century readers."
"1162","008587","Photographic Imagination  The","WRI 155","","","See the Princeton Writing Program website."
"1162","007216","Introductory Drawing","VIS 201 ARC 201","LA","","This course approaches drawing as a way of thinking and seeing. Students will be introduced to a range of drawing issues  as well as a variety of media  including charcoal  graphite  ink and oil stick. Subject matter includes still life  the figure  landscape and architecture. Students will explore representation  abstraction  process and conceptual drawing  as well as working from imagination. A structured independent project will be given at the end of the semester."
"1162","000378","Introduction to Formal Analysis","ARC 547","","ARC Graduate Students Only..","Introduction to the primary projective systems that form the foundations of architectural representation and serve as essential tools of formal analysis and design. Coursework will be derived from a structured examination of key primary sources by Gaspard Monge  Brook Taylor and Girard Desargues."
"1162","007858","Analytical Techniques in Differential Equations","APC 503 AST 557","","","Asymptotic methods  Dominant balance  ODEs: initial and Boundary value problems  Wronskian  Green's functions  Complex Variables: Cauchy's theorem  Taylor and Laurent expansions  Approximate Solution of Differential Equations  singularity type  Series expansions. Asymptotic Expansions. Stationary Phase  Saddle Points  Stokes phenomena. WKB Theory: Stokes constants  Airy function  Derivation of Heading's rules  bound states  barrier transmission. Asymptotic evaluation of integrals  Laplace's method  Stirling approximation  Integral representations  Gamma function  Riemann zeta function. Boundary Layer problems  Multiple Scale Analysis"
"1162","013330","Urban Studies Research Seminar","URB 300 HUM 300 ARC 300 WWS 392","","Students must be working on a junior paper  senior thesis  or larger independent research project..","This interdisciplinary seminar introduces research methods in urban studies. We will focus on some of the ways in which researchers make sense of cities  including various aspects of urban experience  culture  history  theory  form  and policy. Students will use the analytical frameworks covered in the course to develop their own research projects with the goal of developing more dynamic junior papers and senior theses."
"1162","008144","Human Adaptation","ANT 215 EEB 315","STL","","Human adaptation focuses on human anatomy and behavior from an evolutionary perspective. Lectures and weekly laboratory sessions focus on the evolution of the human brain  dentition and skeleton to provide students with a practical understanding of the anatomy and function of the human body and its evolution  as well as some of its biological limitations. No science background is required on the part of the student."
"1162","002329","Mathematics in Engineering I","MAE 305 MAT 391 EGR 305 CBE 305","QR","MAT 201 or MAT 203 and MAT 202 or MAT 204. Open to freshmen with instructor's permission only..","A treatment of the theory and applications of ordinary differential equations with an introduction to partial differential equations. The objective is to provide the student with an ability to solve standard problems in this field."
"1162","006665","Advanced Spanish","SPA 108","","SPA 105 or satisfactory score on the Department's Spanish language placement test. SPA 108 is offered both semesters. Students who complete SPA 108 will be qualified to take SPA 205  206  207  209..","SPA 108 develops fluency and precision in speaking and writing by focusing on functional language in context. It aims to strengthen and consolidate comprehension and production of oral and written Spanish by paying attention to cultural awareness and cross-cultural communication. Through a series of current and thought-provoking texts  images  films  paintings  and related activities  this course enhances linguistic proficiency and language performance while reflecting on important aspects of the history  art  society  language and cultural identity of two of the largest Spanish-speaking urban communities: Mexico City and Los Angeles."
"1162","012540","First Year Philosophy Graduate Student Seminar - Classics of 20th Century Philosophy","PHI 550","","For first-year Philosophy graduate students only..","A seminar for first-year graduate students in philosophy. Issues discussed will vary from year to year."
"1162","004417","Projects in Vocal Performance - The Baroque Consort & Soloists","MUS 214","LA","Enrollment by audition May 7  2015 in Woolworth Room 106. Sign up sheet near 101 Woolworth. Please check Music Dept. website..","A master class format - two 90-minute meetings per week. Student singers work in both ensemble and solo configurations on repertoire from the early Italian Baroque. Final concert in January 2016."
"1162","006974","Policy Workshop - Foreign Direct Investment in Africa","WWS 591","","","This workshop will examine the composition of Asian (mostly Chinese  but also Indian  Malaysian  Indonesian) Foreign Direct Investment (FDI) in Zambia  and the implications of that FDI composition for the short-term macroeconomic stability and long-term developmental prospects for Zambia."
"1162","003252","Tragic Drama - Euripides' Medea","CLG 213","LA","CLG 105 or permission of instructor..","A close reading of the Medea  with supplementary readings (in English and Greek) illustrating the genre and its context. We will also consider the reception of the play in the visual arts."
"1162","013211","Seminar in 19th-Century Photography - Inventing Photography","ART 589","","By application only: see Department of Art & Archaeology webpage for link to apply..","Just as there was initially no one process that was identified as what we call \"photography\" today  there was no one moment of \"invention\" or clear idea of what making pictures with light might accomplish. At a time when it has become fashionable to speak of the \"death of photography \" this seminar returns to the earliest experiments with light  silver salts  and cameras between 1789 and 1848 in order to reconsider what photography was  why it embodied the ideals of \"modernity \" and how it can be located within practices ranging from drawing  printmaking  magic  optical amusements  art  natural philosophy  and industrial production."
"1162","006993","Topics in Policy Analysis (Half-Term) - Economics and Ethics: Social Justice and Policy","WWS 593","","","The course presents the economic concepts involved in the evaluation of the socio-economic effects of public policies. It shows how concrete measures and indicators are grounded on ethical principles. It is organized around central ethical debates: Is there an efficiency-equity trade-off? Are there legitimate inequalities? How much priority should be given to the worse-off? Are interpersonal comparisons of well-being impossible? Why not maximize happiness? Should we discount future generations?"
"1162","009760","An Integrated Introduction to Engineering  Mathematics  Physics","EGR 192 MAT 192 PHY 192 APC 192","QR","All first-year engineering students who have placement into multivariable calculus on the basis of a score of 5 on the BC calculus exam (or equivalent) are eligible to enroll..","Taken concurrently with EGR/MAT/PHY 191  this course offers an integrated presentation of the material from PHY 103 (General Physics: Mechanics and Thermodynamics) and MAT 201 (Multivariable Calculus) with an emphasis on applications to engineering. Math topics include: vector calculus; partial derivatives and matrices; line integrals; simple differential equations; surface and volume integrals; and Green's  Stokes'  and divergence theorems."
"1162","008007","Financial Risk Management","ORF 435","","ORF 245  ORF 335 or ECO 465 (concurrent enrollment okay) or instructor's permission required.","This course covers the basic concepts of modeling  measuring and managing financial risks. Topics include portfolio optimization in the mean-variance and expected utility sense  interest rate risk  credit risk  pricing and hedging of derivatives  risk measures  systemic risk."
"1162","000882","Laboratory in Molecular Biology","MOL 350","STL","MOL214 or MOL215 or ISC 231/232/233/234.","The purpose of MOL350 is to prepare you to be a contributing member of a research lab and to advance you as a creative  critical thinker and effective communicator. While completing original research  you will employ techniques used by cell and molecular biologists  molecular geneticists  and biochemists. You will discover how and why specific knowledge  skills and techniques are applied to the semester's research topic. In addition  you will practice extracting pertinent information from scientific literature and will generate a research report modeled on the scientific literature."
"1162","009640","Fieldwork Methods (Half-Term): Time and Space in Ethnographic Fieldwork","SOC 553","","Open to SOC grad students only  except with permission of the instructor..","Students explore the art of time and the rhythms of everyday life in ethnographic settings. Each week students carry out ethnographic fieldwork in the local community  bring a one-page essay to class on one of six temporal/spatial issues  and present their work to one another. Class discussion focuses on these essays and the readings. Weekly topics include the production of the everyday  recollections of yesterday  the rhythms of the site  and the nature of the \"in-between\" where Henri Lefebvre writes  \"true time lurks.\" A five page final paper on time and space in the field site is presented at the end of six weeks."
"1162","012438","Coding Theory and Random Graphs","APC 529 ELE 529","","Linear algebra and some exposure to probability theory.","This introductory course to coding theory and random graphs covers the basics in each field and the interplay between them. The coding part covers algebraic codes  distance bounds  polar codes  expander codes and LDPC codes. The random graph part covers threshold phenomena  connectivity  giant component  subgraph containment and sharp thresholds. Recent developments in random CSPs and community detection are also discussed  in particular the stochastic block model. The class is proof oriented. Some of the techniques presented are currently used in real-world applications  while others lie at the heart of network data science."
"1162","002735","Literature and Society - Medievalizing Africa","ENG 574","","","This course has three aims: 1) to disprove Hegel's claim that Africa has no history  particularly in the domain of philosophy; 2) to trace the legacy of medieval institutions and political theology in the formation of the colony and the postcolonial state; 3) to explore the institutional formation  and the silences  of postcolonial theory itself as the legacy of the forgetting of the European and African medieval. Readings will come from the domains of medieval philosophy  theology  and literature; African historiography; contemporary African writing; postcolonial theory."
"1162","008375","Fragmented Past  The","WRI 146","","","See the Princeton Writing Program website."
"1162","013272","Graphic Novels and Comics","ENG 309","LA","","An exploration of comics and the graphic novel with particular attention to the ways specific works combine visual imagery and language to enlarge the possibilities of narrative form. Through our analysis of highly acclaimed graphic memoirs as well as popular comics involving superheroes  talking animals  and American teenagers  we will develop strategies for interpreting and evaluating the cultural significance and aesthetic quality of narratives based on sequential art."
"1162","006408","Sociological Research Methods","SOC 301","QR","","Most research in sociology is quantitative  and it is important for students at a minimum to be able to critically evaluate published quantitative research. Ideally  students should also be able to conduct empirical research involving statistical methods. This course provides the foundation for both goals. The course focuses specifically on how to determine  apply  and interpret statistical methods appropriate for answering a sociological research question given a particular set of data. Basic probability theory is introduced as a building block of statistical reasoning  and a variety of commonly-used statistical tests are developed."
"1162","013238","Afro-Asian Masculinities","AMS 360 ENG 387 AAS 360","SA","","This course undertakes a comparative  cross-cultural analysis of African American and Asian American social formations. In doing so  it aims to highlight when and how seemingly distinct racial and ethnic experiences have come together on matters of labor  citizenship  international politics  and especially gender and sexual ideology. It attends to cross-cultural dialogue as well: for example  in the martial arts (Bruce Lee) and hip hop (Wu-Tang Clan). The course offers a unique opportunity to bring ethnic studies  black studies  and gender studies into dynamic conversation."
"1162","006988","Topics in Policy Analysis (Half-Term) - The Federal Budget","WWS 593","","","This course will cover how the Federal budget process is supposed to work and how it actually does work. Topics will include: (1) institutions  processes  and definitions; (2) history of budget outcomes; (3) the current state of the Federal budget process; (4) the role of uncertainty in budgeting; (4) the role of politics in budgeting; and (5) the budget's short- and long-term fiscal consequences. Students will be required to submit at least one short memo during the course and one research paper at the end of the course."
"1162","002400","Fluid Mechanics","MAE 551","","","An introduction to fluid mechanics. The course explores the development of basic conservation laws in integral and differential form; one-dimensional compressible flows  shocks and expansion waves; effects of energy addition and friction; unsteady and two-dimensional flows and method of characteristics. Reviews classical incompressible flow concepts  including vorticity  circulation  and potential flows. Introduces viscous and diffusive phenomena."
"1162","012129","The Russian Empire: 1672-1917","HIS 556","","","This seminar covers major topics of Russian history from the late 17th century to 1917: political cultures and the institutions of autocracy; Russia in the age of Enlightenment; Nationalism and the policy toward non-Russian nationalities; Russian Empire in comparative perspective; Church and State in Imperial Russia; Russian village before and after the emancipation of peasants; social  legal  and cultural reforms; revolutionary movement and the development of Russian political thought."
"1162","011573","Dynamic Meteorology","GEO 423 CEE 423","","MAT 104.","This course provides the rigorous introduction to the moving atmosphere needed to understand Earth's weather and climate. The fundamental forces of the atmosphere (pressure gradient  gravity  and Coriolis) and conservation laws (mass  momentum  energy) will be developed. Approximations relevant to Earth's large-scale circulation and regional-scale extreme events will be discussed. Important consequences of atmospheric turbulence will also be covered. Throughout  connections between dynamical equations and atmospheric observations will be strongly emphasized."
"1162","008599","Introduction to Bioengineering and Medical Devices","MAE 344","STN","SEAS first year requirements in physics and mathematics..","An introduction to the fundamental concepts required for the design and function of implantable medical devices  including basic applications of materials  chemistry and biology to bone/implant systems. The class will discuss the interfaces between cells and the surfaces of synthetic biomaterials  and biosensors for disease detection. An introduction to bio-nanotechnology will also be presented. Classroom sessions will be complemented by lab demonstrations and seminars by outside lecturers."
"1162","001454","Asset Pricing","ECO 525 FIN 525","","ECO 501  502  503  504  517 and 518..","Introduction to asset pricing covering theory in both continuous and discrete time to study dynamic portfolio choice; derivative pricing; the term structure of interest rates; and intertemporal asset-pricing and consumption-based models. Pre-requisites: All required courses in micro  macro and econometrics at the first-year PhD level."
"1162","003533","Seminar in Medieval History - Thirteenth-Century France","HIS 544 MED 544","","","Reading and research seminar on thirteenth-century France."
"1162","010761","Senior Seminar in Translation and Intercultural Communication","TRA 400 COM 409","LA","Prerequisite TRA 200..","A required course for students taking the certificate in Translation and Intercultural Communication but open to all who are interested in translation or any of its aspects  that is in movements between languages of any sort. Readings will focus on recent contributions to the emerging disciplines of translation studies across a wide spectrum of thematic fields (science  law  anthropology  literature  etc.). The seminar will incorporate the individual experiences of the students in their contact with different disciplines and idioms and  where relevant  in developing their senior theses. One three-hour seminar."
"1162","013329","Arabic Paleography","NES 521","","","This course aims to provide an introduction to paleography and codicology  the science of manuscripts  in the Arabic manuscript tradition."
"1162","006470","Classical Sociological Theory","SOC 501","","","Sociology as a discipline was not institutionalized until the early 20th century  but sociological thinking predates the discipline by at least a century. In this course  we will examine the development of social thought through the writings of sociology's founders as they developed the idea of the social and its relationship to the development of the individual and to economic and political transformation. While the course will linger on Marx  Weber  Durkheim and Simmel  it will also explore their intellectual contexts  their interlocutors and their legacies up through the middle of the 20th century."
"1162","003413","Revolutionary America","HIS 372","HA","","The years between the Anglo-French imperial conflicts of the 1740s and Thomas Jefferson's election to the presidency in 1800 saw the transformation through war of the American colonies  from an assemblage of quarreling settlements into a revolutionary republic. What were the 18th-century empires good for? How and why did the American Revolution begin? Was it a democratic movement? How did Britain lose the revolutionary war? Did the American states ever come to constitute a nation? What good did independence from Britain do them? And what part did national sentiment play in uniting or fragmenting the British empire and the U.S.?"
"1162","010455","Reasoning about Computation","COS 340","QR","COS 126 and 226 (or sufficient mathematical background)  and MAT 202 or 204 or MAT217 (students entering Princeton before fall 2015 may use MAT 175). COS 226 can be taken along with COS 340 in the same term. Please contact the professor directly with any questions you may have..","An introduction to mathematical topics relevant to computer science. Combinatorics and probability will be covered in the context of computer science applications. The course will present a computer science approach to thinking and modeling through topics such as dealing with uncertainty in data and handling large data sets. Students will be introduced to fundamental concepts such as NP-completeness and cryptography that arise from the world view of efficient computation."
"1162","010277","Engineering Projects in Community Service (EPICS): Non-credit","EGR 450","","Seniors only (except for juniors who have completed EGR 351)..","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1162","001039","Topics in Biological Chemistry - Chemical Tools to Study Biological Systems","CHM 538","","","This class emphasizes the use of chemical approaches to investigate and manipulate biological processes at the biochemical  the cellular  and the organismal level. The purpose is to provide chemical biologists with modern chemical methods. The class will then discuss how these methods can be applied to study different biological problems  highlighting important questions in biology. Typically a paper from the current literature will be presented and discussed by the students each class. Grades are based on problem sets  a midterm exam  a literature presentation  and a research proposal."
"1162","004066","Introduction to Comparative Literature","COM 521","","","This course traces the history of criticism in comparative literature along with recent critical developments such as surface reading  distant reading  affect theory  necropolitics  queer futurity  the new materialism  thing theory  biopolitics  ecocriticism  world literature  theory from the south  critiques of neoliberalism  and so on. The class will not embrace a mastery posture toward theory  but an instrumental one  aiming to assist graduate students in conceptualizing their particular projects within and against current debates."
"1162","013252","The Art of Paul Cézanne: In and Out of the Studio","ART 497","LA","","This seminar takes the contrast of what happened in and outside the studio of the French painter Paul Cézanne (1839-1906) as a structure for gaining focus upon his complex practice. Studying artworks-many in the original-and texts  the course examines analogous contrasts in interpretations of his art. These include: working in a controlled or an uncontrollable space; allegories of experience versus records of experience; the corporeal and the optical; individualistic and convention-based models of artistic creation; the finished and unfinished; the separation and merging of genres; the artist's understanding of his art versus its reception."
"1162","012113","Modern Genetics and Public Policy","WWS 354","SA","","Examines modern genetics' implications for public policy focusing on health  law  consumer products  and criminal justice. Topics include: eugenics; gene patenting; gene therapy; FDA consumer regulations of genetic testing; genetic discrimination; forensic use of DNA; and stem cell therapy. Explores social  political  and philosophical problems that modern genetics pose in areas such in the changing conceptions of the self; genetic enhancement vs. therapy; genetic nature of race; new theories of gene action in epigenetics; and genetic privacy."
"1162","004947","Explaining Values","PHI 380 CHV 380","EM","One other course in Philosophy or permission of instructor.","This lecture will examine how human interactions are permeated by evaluative understandings of agency and responsibility  and whether such evaluative understandings are well grounded. It will consider what implications this has for inter-personal relations  as well as for social institutions such as criminal justice. We will approach these issues primarily from a philosophical perspective  but where appropriate philosophical  institutional and scientific considerations will be brought into useful contact with each other."
"1162","012424","Quantum Mechanics: Principles and Problem Solving (Half Term)","PHY 513","","","A graduate-level review of quantum mechanics emphasizing problem-solving."
"1162","006994","Topics in Policy Analysis (Half-Term) - Poverty and Inequality in OECD Countries","WWS 593","","","What can we learn from the analysis of inequality  and poverty and from research on social exclusion in the OECD countries? We analyze the role differences in institutions (i.e. labor market regulations ) and policies (i.e. child benefits  minimum wage  migration policies) across these countries play in observed outcomes. We first focus on poverty and deprivation among children  then on problems of youth and adolescents; family formation and household structure  labor market participation and wage structure  migration and other dimensions of adulthood."
"1162","011730","Earth's Atmosphere","GEO 415","QR","","An introduction to atmospheric sciences. This course discusses aspects of weather and climate both from a phenomenological and analytical point of view. The course balances overview lectures (also covering topics that have high media coverage like the \"Ozone Hole\" and \"Global Warming\") with a few in-depth analyses of selected aspects. Lectures are complemented with homework based on real data  demonstrating basic data analysis techniques employed in atmospheric sciences."
"1162","013290","Social Philosophy","PHI 316 CHV 318 HUM 316 SOC 318","EM","Some background in Philosophy would be helpful..","A systematic study of philosophical questions pertaining to social phenomena. We will begin with ontological questions  such as whether and how we can say that a group exists or that it has certain beliefs and desires; then turn to questions concerning explanation  such as whether social science can ever be value-neutral; and end by addressing normative questions pertaining to our obligation to obey the law  the nature and value of patriotism  the moral responsibilities of corporations  the critique of social categories like race and gender  and the ideal of socialism."
"1162","001483","Civitas Foundation Finance Seminar","ECO 581","","","Drafts of papers  articles  and chapters of dissertations or books  prepared by graduate students  faculty members  or visiting scholars  are exposed to critical analysis by a series of seminars organized by field. The chief objectives are for the writers to receive the benefit of critical suggestions  for all participants to gain experience in criticism and uninhibited oral discussion  and for students and faculty members to become acquainted with the research work going on in the department. Third- and fourth-year graduate students are expected to attend; first-and second-year students and faculty members are invited to attend."
"1162","005146","Classical Mechanics B","PHY 205","STN","(PHY 103 and 104) or (PHY 105 and 106); one 200-level math course; or instructor's permission..","Classical Mechanics with emphasis on the Lagrangian method. The underlying physics is Newtonian  but with more sophisticated mathematics introduced as needed to understand more complex phenomena. Topics include the formalism of Lagrangian mechanics  central force motion and scattering  rigid body motion and non-inertial forces  small and coupled oscillations and Hamiltonian chaos. The course is intensive but rewarding."
"1162","003158","German Intellectual History - German-Jewish Identity and Figurations of Political Space","GER 306 JDS 307","EC","","This course will examine the various scenes in which Jewish encounters with political authority and political potential have been represented in the literature  philosophy  and political theory of the German intellectual tradition. We will explore the topos of the Jew at court  consider variations on the theme of the Jew on trial  and think through a multitude of peculiarly spatial visions  both Jewish and Christian  for an appropriately \"Jewish\" relationship to the modern nation-state."
"1162","008967","Claims and Evidence in Sociology","SOC 300","SA","SOC 101 or another 200-level sociology course.","This is a course on the logic of social research. We discuss how sociologists apply a specific approach of inquiry we call \"science\" to analyze and explain social behavior. While surveying a wide range of methods  we will learn how research questions can be answered by using various combinations of theory  methods  and data. Three assumptions about society will be examined: 1) Durkheimian notion of \"society as a thing\"; 2) society as a composite of variables; 3) society as a meaning-producing process. Students will learn how to formulate a research question and how to marshal empirical data to make a sociological argument."
"1162","009622","Fundamentals of Solid Earth Science","GEO 203 ENE 203","QR","Single variable calculus is a prerequisite  and the course also introduces basic multivariate calculus  simple matrix algebra  and elementary tensor calculus. The course serves as a prerequisite for several upper-level GEO and CEE courses..","A quantitative introduction to Solid Earth system science  focusing on the underlying physical and chemical processes and their geological and geophysical expression. Through the course we investigate the Earth starting from its basic constituents and continue though its accretion  differentiation and evolution and discuss how these processes create and sustain habitable conditions on Earth's surface. Topics include nucleosynthesis  planetary thermodynamics  plate tectonics  seismology  geomagnetism  petrology  sedimentology and the global carbon cycle. Two field trips included."
"1162","013406","Proseminar for Post-Professional M.Arch.","ARC 531","","Open to Incoming students of the post-professional M.Arch. program..","A series of exercises guide students to identify the primary questions that currently structure the discipline and extra-disciplinary concerns which architecture must engaged today. Analyses of these issues are linked to contemporary architectural production. Each week students present from the format list. The focus in the formats and their connections substitute buildings analysis or close readings of texts as isolated arguments  and should help discern the diversity of threads they open. Our goal is to describe value systems and discursive paths used not only to evaluate but also reconstitute."
"1162","001408","International Trade","WWS 301 ECO 352","SA","WWS 300  ECO 300  or ECO 310.","This course examines the causes and consequences of international trade. Why do countries trade? What determines the goods that a country exports and imports? Why do only some firms export? Who gains and who loses from trade? To address these questions  the course develops a number of models  which shed light on several related public policy issues: What are the implications of the growing trade from China and other developing countries? Does international trade explain rising wage inequality? Should governments use trade policy to \"pick winners\"?"
"1162","011507","Social and Political Lives of Humor  The","WRI 199","","","See Princeton Writing Program website."
"1162","013368","Art  Feminism and Africana Women","FRS 107","LA","","See website."
